Country,Year,Maize Production (tonnes),Rice  Production ( tonnes),Yams  Production (tonnes),Wheat Production (tonnes),Tomatoes Production (tonnes),Tea  Production ( tonnes ),Sweet potatoes  Production (tonnes),Sunflower seed  Production (tonnes),Sugar cane Production (tonnes),Soybeans  Production (tonnes),Rye  Production (tonnes),Potatoes  Production (tonnes),Oranges  Production (tonnes),"Peas, dry Production ( tonnes)",Palm oil  Production (tonnes),Grapes  Production (tonnes),"Coffee, green Production ( tonnes)",Cocoa beans Production (tonnes),"Meat, chicken  Production (tonnes)",Bananas  Production ( tonnes),Avocados Production (tonnes),Apples Production (tonnes)
Albania,2000,205700.0,0.0,54.97,341100.0,341447.0,570.0,224043.0,2900.0,571783600.0,287188450.0,599180.0,161000.0,2600.0,3130848.8,40000.0,79300.0,4260.0,200.0,4000.0,250000.0,3390.76,12000.0
Albania,2001,198300.0,0.0,55.0,282200.0,373534.0,570.0,353228.0,2700.0,588886900.0,308018180.0,545201.7,163700.0,2800.0,2333312.0,40000.0,85100.0,3300.0,198.83,4000.0,300000.0,3438.71,15794.0
Albania,2002,197300.0,0.0,58.0,295300.0,401364.0,650.0,423141.0,2600.0,617614400.0,324211230.0,390834.53,163100.0,3400.0,1624118.2,48000.0,83100.0,1260.0,190.0,6000.0,300000.0,3500.0,15800.0
Albania,2003,206900.0,0.0,64.0,259900.0,456933.0,1130.0,543319.0,1319.0,646273600.0,0.0,630046.75,158200.0,4400.0,2304180.0,50000.0,105500.0,2040.0,200.0,8000.0,250000.0,3485.75,13300.0
Albania,2004,216200.0,0.0,70.0,253400.0,512195.0,1100.0,629573.0,2200.0,666612030.0,0.0,648838.0,159800.0,4900.0,3752609.0,51000.0,97100.0,1980.0,222.12,9000.0,300000.0,3433.0,15000.0
Albania,2005,219900.0,0.0,78.82,260000.0,513780.0,1455.0,663787.0,2000.0,659706700.0,0.0,622399.0,169300.0,5200.0,3770800.8,49000.0,115100.0,3500.0,241.81,9000.0,320000.0,3459.09,16000.0
Albania,2006,245400.0,0.0,85.34,230900.0,548934.0,1566.0,684756.0,2200.0,718480200.0,0.0,603673.0,162600.0,3670.0,3284502.2,49000.0,127800.0,5000.0,265.87,10000.0,250000.0,3450.0,27566.0
Albania,2007,215900.0,0.0,91.91,249500.0,567313.0,1440.0,949104.0,2400.0,793522600.0,0.0,440029.0,154900.0,4200.0,3839825.2,49000.0,146500.0,11523.0,297.38,13000.0,300000.0,3600.0,36000.0
Albania,2008,245000.0,0.0,98.42,335000.0,559249.0,640.0,819772.0,2200.0,890090940.0,0.0,597351.5,190000.0,4500.0,4298855.5,50000.0,153900.0,4000.0,316.45,16000.0,280000.0,3500.0,45000.0
Albania,2009,265100.0,0.0,104.63,333100.0,641034.0,480.0,982588.0,2300.0,943293200.0,0.0,499611.97,200000.0,5750.0,4340491.0,49000.0,162800.0,11982.0,335.6,17000.0,300000.0,3600.0,47202.0
