Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Unnamed: 0,Country,Production (tonnes),Emissions_per_tonne
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,714.0,Albania,59566.54,17869.962
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,715.0,Austria,288728.91,86618.673
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,716.0,Belarus,378459.64,113537.892
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,717.0,Belgium,144029.23,43208.769
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,718.0,Bosnia and Herzegovina,1816088.82,544826.646
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,719.0,Bulgaria,8622.23,2586.669
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,720.0,Croatia,24364.79,7309.437
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,721.0,Czechia,160.31,48.092999999999996
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,722.0,Denmark,1669692.68,500907.80399999995
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25,723.0,Estonia,36550.0,10965.0
