,Country,Food product,Production (tonnes)
0,Albania,Maize,308651.08
1,Austria,Maize,2068804.1
2,Belarus,Maize,568767.27
3,Belgium,Maize,605323.23
4,Bosnia and Herzegovina,Maize,888084.05
5,Bulgaria,Maize,2110071.9
6,Croatia,Maize,1904827.09
7,Czechia,Maize,689296.38
8,Denmark,Maize,28200.45
9,Estonia,Maize,0.0
10,Finland,Maize,0.0
11,France,Maize,14676819.05
12,Germany,Maize,4154681.32
13,Greece,Maize,2018665.88
14,Hungary,Maize,7203400.09
15,Ireland,Maize,0.0
16,Italy,Maize,8507013.59
17,Latvia,Maize,0.0
18,Lithuania,Maize,54459.02
19,Luxembourg,Maize,1844.91
20,Malta,Maize,0.0
21,Montenegro,Maize,2779.93
22,Netherlands,Maize,183253.77
23,North Macedonia,Maize,138833.05
24,Poland,Maize,3038115.32
25,Portugal,Maize,750151.86
26,Romania,Maize,10486302.82
27,Serbia,Maize,6160645.59
28,Slovakia,Maize,1109350.41
29,Slovenia,Maize,320569.77
30,Spain,Maize,4152612.82
31,Sweden,Maize,10825.0
32,Switzerland,Maize,164999.27
33,Ukraine,Maize,18441280.91
34,Albania,Rice,0.0
35,Austria,Rice,5600.68
36,Belarus,Rice,7697821.27
37,Belgium,Rice,10456448.14
38,Bosnia and Herzegovina,Rice,5862398.73
39,Bulgaria,Rice,26445.99
40,Croatia,Rice,1635571.15
41,Czechia,Rice,55270.14
42,Denmark,Rice,607238.4
43,Estonia,Rice,101516.25
44,Finland,Rice,45604.5
45,France,Rice,4672.09
46,Germany,Rice,1630527.09
47,Greece,Rice,963640.91
48,Hungary,Rice,158592706.82
49,Ireland,Rice,74957.75
50,Italy,Rice,345977.32
51,Latvia,Rice,66250.0
52,Lithuania,Rice,45169.41
53,Luxembourg,Rice,8983269.95
54,Malta,Rice,195091.5
55,Montenegro,Rice,15346640.69
56,Netherlands,Rice,140290.95
57,North Macedonia,Rice,17532493.64
58,Poland,Rice,476590.73
59,Portugal,Rice,18628704.73
60,Romania,Rice,528832.95
61,Serbia,Rice,462933.62
62,Slovakia,Rice,20923226.45
63,Slovenia,Rice,5605342.23
64,Spain,Rice,17691390.28
65,Sweden,Rice,1416437.25
66,Switzerland,Rice,19406042.06
67,Ukraine,Rice,36800.65
68,Albania,Yams,106.53
69,Austria,Yams,587277.64
70,Belarus,Yams,232331.44
71,Belgium,Yams,156854.9
72,Bosnia and Herzegovina,Yams,7459.62
73,Bulgaria,Yams,178409.09
74,Croatia,Yams,20371.11
75,Czechia,Yams,2267706.41
76,Denmark,Yams,10750.0
77,Estonia,Yams,114000.0
78,Finland,Yams,3000.5
79,France,Yams,13420.14
80,Germany,Yams,3108.68
81,Greece,Yams,697.91
82,Hungary,Yams,417104.82
83,Ireland,Yams,55013.5
84,Italy,Yams,19508490.73
85,Latvia,Yams,1135134.69
86,Lithuania,Yams,11189498.98
87,Luxembourg,Yams,157932.17
88,Malta,Yams,3368.2
89,Montenegro,Yams,66722.15
90,Netherlands,Yams,510948.67
91,North Macedonia,Yams,1670213.82
92,Poland,Yams,709313.93
93,Portugal,Yams,100699.77
94,Romania,Yams,170477.36
95,Serbia,Yams,9204.48
96,Slovakia,Yams,492671.77
97,Slovenia,Yams,335627.4
98,Spain,Yams,89254.35
99,Sweden,Yams,13196970.11
100,Switzerland,Yams,654030.81
101,Ukraine,Yams,21011238.53
102,Albania,Wheat,275413.18
103,Austria,Wheat,451853.86
104,Belarus,Wheat,169374.2
105,Belgium,Wheat,269815.33
106,Bosnia and Herzegovina,Wheat,7293810.26
107,Bulgaria,Wheat,3328.73
108,Croatia,Wheat,70768008.27
109,Czechia,Wheat,112047500.36
110,Denmark,Wheat,35291603.55
111,Estonia,Wheat,602000.0
112,Finland,Wheat,1501633.0
113,France,Wheat,35124344.73
114,Germany,Wheat,141802.95
115,Greece,Wheat,80257619.64
116,Hungary,Wheat,744943.73
117,Ireland,Wheat,1460.69
118,Italy,Wheat,3550.55
119,Latvia,Wheat,86327611.0
120,Lithuania,Wheat,10788001.68
121,Luxembourg,Wheat,18382201.91
122,Malta,Wheat,4504884.25
123,Montenegro,Wheat,1496615.12
124,Netherlands,Wheat,120269.09
125,North Macedonia,Wheat,644971.18
126,Poland,Wheat,236931598.86
127,Portugal,Wheat,910170.68
128,Romania,Wheat,29111892.0
129,Serbia,Wheat,3970038.36
130,Slovakia,Wheat,24200356.7
131,Slovenia,Wheat,37206126.24
132,Spain,Wheat,3728062.44
133,Sweden,Wheat,16161.2
134,Switzerland,Wheat,39443893.42
135,Ukraine,Wheat,2986661.82
136,Albania,Tomatoes,865398.57
137,Austria,Tomatoes,7423.14
138,Belarus,Tomatoes,189711.36
139,Belgium,Tomatoes,248585.47
140,Bosnia and Herzegovina,Tomatoes,956698.77
141,Bulgaria,Tomatoes,62657.7
142,Croatia,Tomatoes,23992.04
143,Czechia,Tomatoes,1178.48
144,Denmark,Tomatoes,155035.72
145,Estonia,Tomatoes,19870864.5
146,Finland,Tomatoes,418.44
147,France,Tomatoes,67598.82
148,Germany,Tomatoes,2377.0
149,Greece,Tomatoes,2404.27
150,Hungary,Tomatoes,4044064.2
151,Ireland,Tomatoes,5435.0
152,Italy,Tomatoes,501101.76
153,Latvia,Tomatoes,1978.62
154,Lithuania,Tomatoes,27242871.0
155,Luxembourg,Tomatoes,24035.97
156,Malta,Tomatoes,2699.0
157,Montenegro,Tomatoes,16323429.56
158,Netherlands,Tomatoes,65564.33
159,North Macedonia,Tomatoes,151088.41
160,Poland,Tomatoes,1050780.18
161,Portugal,Tomatoes,1268893.7
162,Romania,Tomatoes,85447.86
163,Serbia,Tomatoes,553286.86
164,Slovakia,Tomatoes,4729631.27
165,Slovenia,Tomatoes,3653208.0
166,Spain,Tomatoes,101453.28
167,Sweden,Tomatoes,137328.5
168,Switzerland,Tomatoes,161832.82
169,Ukraine,Tomatoes,4040203.42
170,Albania,Tea,1587.0
171,Austria,Tea,30949.36
172,Belarus,Tea,774354.32
173,Belgium,Tea,9713.95
174,Bosnia and Herzegovina,Tea,6027.18
175,Bulgaria,Tea,6012.32
176,Croatia,Tea,1838.48
177,Czechia,Tea,89529.01
178,Denmark,Tea,457.35
179,Estonia,Tea,101988.3
180,Finland,Tea,47120.4
181,France,Tea,20999.83
182,Germany,Tea,402027.43
183,Greece,Tea,144176.56
184,Hungary,Tea,133662.84
185,Ireland,Tea,105034.4
186,Italy,Tea,63225.01
187,Latvia,Tea,487940.6
188,Lithuania,Tea,147807.33
189,Luxembourg,Tea,15293.56
190,Malta,Tea,5743.85
191,Montenegro,Tea,4155.34
192,Netherlands,Tea,15713.43
193,North Macedonia,Tea,560800.48
194,Poland,Tea,98044.55
195,Portugal,Tea,205459.26
196,Romania,Tea,76767.19
197,Serbia,Tea,223527.04
198,Slovakia,Tea,51646.81
199,Slovenia,Tea,48234.85
200,Spain,Tea,616970.02
201,Sweden,Tea,723891.4
202,Switzerland,Tea,101159.74
203,Ukraine,Tea,51838.83
204,Albania,Cassava,1116214.55
205,Austria,Cassava,198.91
206,Belarus,Cassava,426191.95
207,Belgium,Cassava,316.95
208,Bosnia and Herzegovina,Cassava,4910.27
209,Bulgaria,Cassava,42122.46
210,Croatia,Cassava,70678.18
211,Czechia,Cassava,1005446.22
212,Denmark,Cassava,86618.45
213,Estonia,Cassava,236042.9
214,Finland,Cassava,9435.5
215,France,Cassava,29908.93
216,Germany,Cassava,115293.5
217,Greece,Cassava,21282.03
218,Hungary,Cassava,2362.67
219,Ireland,Cassava,3116.06
220,Italy,Cassava,13034.63
221,Latvia,Cassava,250.23
222,Lithuania,Cassava,440315.18
223,Luxembourg,Cassava,194240.79
224,Malta,Cassava,66828.75
