Country,Maize product_id,Rice product_id,Yams product_id,Wheat product_id,Tomatoes product_id,Tea product_id,Sweet potatoes product_id,Sunflower seed product_id,Sugar cane product_id,Soybeans product_id,Rye product_id,Potatoes product_id,Oranges product_id,"Peas, dry product_id",Palm oil product_id,Grapes product_id,Coffee product_id,Cocoa beans product_id,"Meat, chicken product_id",Bananas product_id,Avocados product_id,Apples product_id,Country_Id
Albania,1.0,0.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,0.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,1
Austria,1.0,2.0,22.0,20.0,3.0,4.0,0.0,6.0,7.0,8.0,9.0,0.0,11.0,0.0,13.0,0.0,0.0,16.0,21.0,17.0,18.0,19.0,2
Belarus,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,3
Belgium,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,4
Bosnia and Herzegovina,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,5
Bulgaria,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,6
Croatia,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,0.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,0.0,18.0,19.0,7
Czechia,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,8
Denmark,0.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,9
France,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,10
Germany,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,0.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,11
Greece,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,0.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,12
Hungary,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,13
Italy,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,14
Lithuania,1.0,0.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,15
Luxembourg,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,16
Netherlands,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,17
North Macedonia,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,18
Poland,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,19
Portugal,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20
Romania,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,21
Slovakia,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22
Slovenia,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,23
Spain,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,24
Switzerland,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,25
Ukraine,1.0,2.0,22.0,20.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,26
