country,"Food product","Production Kg","World Emissions per kg","Total emissiones per country vs product"
Albania,Cane,867129471360,2.6,2254536625536
Hungary,Rice,158592706820,4,634370827280
Poland,Wheat,236931598860,1.4,331704238404
Greece,Cane,127021794910,2.6,330256666766
Italy,Cane,123134864550,2.6,320150647830
Albania,Soybean,41793471410,6,250760828460
Switzerland,Cane,92598134630,2.6,240755150038
Bulgaria,Cane,64821603270,2.6,168536168502
Romania,Cane,60571600300,2.6,157486160780
Czechia,Wheat,112047500360,1.4,156866500504
Estonia,Cane,57408433500,2.6,149261927100
Italy,Poultry,23506276090,6.1,143388284149
Hungary,Cane,48006991360,2.6,124818177536
Latvia,Wheat,86327611000,1.4,120858655399.99998
Greece,Wheat,80257619640,1.4,112360667496
Croatia,Wheat,70768008270,1.4,99075211578
Portugal,Cane,37980756850,2.6,98749967810
Ukraine,Potatoes,299264079090,0.3,89779223727
Slovakia,Rice,20923226450,4,83692905800
Switzerland,Rice,19406042060,4,77624168240
"Bosnia and Herzegovina",Soybean,12599729360,6,75598376160
Portugal,Rice,18628704730,4,74514818920
Romania,Soybean,12328057450,6,73968344700
France,Palm,9730911230,7.6,73954925348
Spain,Rice,17691390280,4,70765561120
"North Macedonia",Rice,17532493640,4,70129974560
Latvia,Cane,24962066000,2.6,64901371600
Serbia,Cane,23973416080,2.6,62330881808
Montenegro,Rice,15346640690,4,61386562760
Latvia,Sunflower,16918435250,3.5,59214523375
France,Poultry,9675277910,6.1,59019195251
Poland,Cassava,65124049910,0.9,58611644919
Switzerland,Wheat,39443893420,1.4,55221450788
Bulgaria,Poultry,8558403050.000001,6.1,52206258605
Slovenia,Wheat,37206126240,1.4,52088576736
Hungary,Palm,6680198400,7.6,50769507840
Denmark,Wheat,35291603550,1.4,49408244970
France,Wheat,35124344730,1.4,49174082622
Montenegro,Cane,18311704620,2.6,47610432012
Denmark,Soybean,7197986770,6,43187920620
Belgium,Rice,10456448140,4,41825792560
Spain,Cane,15790326560,2.6,41054849056
Austria,Soybean,6836637820,6,41019826920
Romania,Wheat,29111892000,1.4,40756648800
Switzerland,Soybean,6755666420,6,40533998520
Lithuania,Tomatoes,27242871000,1.4,38140019400
Germany,Potatoes,124594020690,0.3,37378206207
Luxembourg,Rice,8983269950,4,35933079800
Croatia,Soybean,5785663000,6,34713978000
Slovakia,Wheat,24200356700,1.4,33880499379.999996
Sweden,Soybean,5554238750,6,33325432500
Belarus,Rice,7697821270,4,30791285080
Estonia,Tomatoes,19870864500,1.4,27819210300
Estonia,Potatoes,86647925500,0.3,25994377650
Luxembourg,Wheat,18382201910,1.4,25735082674
"Bosnia and Herzegovina",Rice,5862398730,4,23449594920
Malta,Sunflower,6640016650,3.5,23240058275
Romania,Poultry,3752081210,6.1,22887695381
Montenegro,Tomatoes,16323429560,1.4,22852801384
Slovenia,Rice,5605342230,4,22421368920
Malta,Berries,19827425000,1.1,21810167500
Ukraine,Coffee,1297982590,16.5,21416712735
Ukraine,Maize,18441280910,1.1,20285409001
Serbia,Soybean,3236048640,6,19416291840
Latvia,Berries,16328180000,1.1,17960998000
Romania,Palm,2141661250,7.6,16276625500
France,Maize,14676819050,1.1,16144500955.000002
Estonia,Coffee,936096780,16.5,15445596870
Lithuania,Wheat,10788001680,1.4,15103202351.999998
Lithuania,Bananas,18475099910,0.8,14780079928
France,Cane,5550623180,2.6,14431620268
Estonia,Poultry,2282322250,6.1,13922165725
Lithuania,Palm,1807363900,7.6,13735965640
"Bosnia and Herzegovina",Cane,5197441000,2.6,13513346600
Lithuania,Cane,4906191500,2.6,12756097900
Slovakia,Sunflower,3310193760,3.5,11585678160
Romania,Maize,10486302820,1.1,11534933102
Italy,Soybean,1806346890,6,10838081340
Poland,Berries,9585667930,1.1,10544234723
Italy,Sunflower,2999138640,3.5,10496985240
Slovakia,Cane,4006862030,2.6,10417841278
Slovakia,Soybean,1727387550,6,10364325300
Finland,Potatoes,34166768000,0.3,10250030400
"Bosnia and Herzegovina",Wheat,7293810260,1.4,10211334364
Slovenia,Cane,3839217610,2.6,9981965786
Greece,Poultry,1583781080,6.1,9661064588
Italy,Maize,8507013590,1.1,9357714949
Slovenia,Sunflower,2643056150,3.5,9250696525
Poland,Cane,3374986110,2.6,8774963886
Montenegro,Apples,28121785750,0.3,8436535725
Estonia,Soybean,1375522050,6,8253132300
"Bosnia and Herzegovina",Berries,7423006950,1.1,8165307645.000001
Switzerland,Coffee,492379160,16.5,8124256140
Hungary,Maize,7203400090,1.1,7923740099.000001
Serbia,Maize,6160645590,1.1,6776710149.000001
Slovakia,Tomatoes,4729631270,1.4,6621483778
Croatia,Rice,1635571150,4,6542284600
Germany,Rice,1630527090,4,6522108360
Malta,Wheat,4504884250,1.4,6306837950
Lithuania,Poultry,1018967180,6.1,6215699798
Spain,Coffee,350632190,16.5,5785431135
Croatia,Palm,759395730,7.6,5771407548
Germany,Sunflower,1627832320,3.5,5697413120
Sweden,Rice,1416437250,4,5665749000
Hungary,Tomatoes,4044064200,1.4,5661689880
Ukraine,Tomatoes,4040203420,1.4,5656284788
Spain,Bananas,7039634310,0.8,5631707448
Serbia,Wheat,3970038360,1.4,5558053704
Denmark,Potatoes,18356209110,0.3,5506862733
Ukraine,Cane,2116702759.9999998,2.6,5503427176
