country,"SUM(`Total emissiones per country vs product`)"
Albania,2512532064639
Hungary,827003890528
Italy,501098964465
Greece,465161515704
Switzerland,436368212716
Poland,423211201358
Romania,328214822150
Latvia,271965311547
Estonia,243001599897
Bulgaria,231188843904
France,220436336715
Portugal,182905195162
Slovakia,174226723780
Czechia,165563635713
Croatia,151150795147
Montenegro,148841072703
Ukraine,148124684699
Spain,142586341971
"Bosnia and Herzegovina",141922861022
Denmark,108904331961
Slovenia,106464988260
Lithuania,104750100649
Serbia,102942967077
"North Macedonia",83352228338
Luxembourg,75510777909
Germany,59501893689
Malta,58596752453
Belgium,56210976629
Sweden,51619045927
Austria,48747266974
Belarus,40331138495
Finland,19413879476
Netherlands,14998094231
Ireland,2832976550
