country,"Food product","Production Kg","World Emissions per kg","Total emissiones per country vs product","AVG(`Total emissiones per country vs product`) OVER(partition by `Food product`)"
Ireland,Coffee,0,16.5,0,2369839215.4411764
Hungary,Coffee,110133950,16.5,1817210175,2369839215.4411764
France,Coffee,109660720,16.5,1809401880,2369839215.4411764
Switzerland,Coffee,492379160,16.5,8124256140,2369839215.4411764
Luxembourg,Coffee,2565720,16.5,42334380,2369839215.4411764
Portugal,Coffee,29349860,16.5,484272690,2369839215.4411764
Slovenia,Coffee,30882930,16.5,509568345,2369839215.4411764
Montenegro,Coffee,2887340,16.5,47641110,2369839215.4411764
Greece,Coffee,3015910,16.5,49762515,2369839215.4411764
Czechia,Coffee,32507740,16.5,536377710,2369839215.4411764
Belarus,Coffee,34262000,16.5,565323000,2369839215.4411764
Estonia,Coffee,936096780,16.5,15445596870,2369839215.4411764
Serbia,Coffee,93085470,16.5,1535910255,2369839215.4411764
Netherlands,Coffee,91951190,16.5,1517194635,2369839215.4411764
Belgium,Coffee,38796420,16.5,640140930,2369839215.4411764
Slovakia,Coffee,40039440,16.5,660650760,2369839215.4411764
Romania,Coffee,42804560,16.5,706275240,2369839215.4411764
Latvia,Coffee,7000,16.5,115500,2369839215.4411764
"Bosnia and Herzegovina",Coffee,83952820,16.5,1385221530,2369839215.4411764
Spain,Coffee,350632190,16.5,5785431135,2369839215.4411764
Ukraine,Coffee,1297982590,16.5,21416712735,2369839215.4411764
Poland,Coffee,81376050,16.5,1342704825,2369839215.4411764
Croatia,Coffee,4567690,16.5,75366885,2369839215.4411764
Italy,Coffee,9630,16.5,158895,2369839215.4411764
Lithuania,Coffee,52173500,16.5,860862750,2369839215.4411764
Austria,Coffee,14380,16.5,237270,2369839215.4411764
Malta,Coffee,57662750,16.5,951435375,2369839215.4411764
"North Macedonia",Coffee,225430930,16.5,3719610345,2369839215.4411764
Albania,Coffee,9115470,16.5,150405255,2369839215.4411764
Sweden,Coffee,205030650,16.5,3383005725,2369839215.4411764
Germany,Coffee,527820,16.5,8709030,2369839215.4411764
Bulgaria,Coffee,75700000,16.5,1249050000,2369839215.4411764
Finland,Coffee,170633440,16.5,2815451760,2369839215.4411764
Denmark,Coffee,178068950,16.5,2938137675,2369839215.4411764
Italy,Palm,110649200,7.6,840933920,5831483627.882353
Portugal,Palm,38516780,7.6,292727528,5831483627.882353
Ukraine,Palm,33421530,7.6,254003628,5831483627.882353
"North Macedonia",Palm,111508740,7.6,847466424,5831483627.882353
Romania,Palm,2141661250,7.6,16276625500,5831483627.882353
Finland,Palm,40100000,7.6,304760000,5831483627.882353
Switzerland,Palm,677499810,7.6,5148998556,5831483627.882353
Netherlands,Palm,112459740,7.6,854694024,5831483627.882353
Austria,Palm,176164910,7.6,1338853316,5831483627.882353
Belgium,Palm,174995910,7.6,1329968916,5831483627.882353
Germany,Palm,30962380,7.6,235314088,5831483627.882353
Malta,Palm,43040030,7.6,327104228,5831483627.882353
Denmark,Palm,117008090,7.6,889261484,5831483627.882353
Spain,Palm,196704060,7.6,1494950856,5831483627.882353
Estonia,Palm,29210500,7.6,221999800,5831483627.882353
France,Palm,9730911230,7.6,73954925348,5831483627.882353
Montenegro,Palm,45678000,7.6,347152800,5831483627.882353
Ireland,Palm,122000000,7.6,927200000,5831483627.882353
Poland,Palm,371619570,7.6,2824308732,5831483627.882353
Belarus,Palm,46613730,7.6,354264348,5831483627.882353
Latvia,Palm,487167250,7.6,3702471100,5831483627.882353
Albania,Palm,48954550,7.6,372054580,5831483627.882353
Greece,Palm,479584350,7.6,3644841060,5831483627.882353
Lithuania,Palm,1807363900,7.6,13735965640,5831483627.882353
Czechia,Palm,465714000,7.6,3539426400,5831483627.882353
Slovenia,Palm,165306110,7.6,1256326436,5831483627.882353
Sweden,Palm,18006950,7.6,136852820,5831483627.882353
"Bosnia and Herzegovina",Palm,59980840,7.6,455854384,5831483627.882353
Hungary,Palm,6680198400,7.6,50769507840,5831483627.882353
Croatia,Palm,759395730,7.6,5771407548,5831483627.882353
Luxembourg,Palm,325920720,7.6,2476997472,5831483627.882353
Bulgaria,Palm,2657950,7.6,20200420,5831483627.882353
Slovakia,Palm,371021200,7.6,2819761120,5831483627.882353
Serbia,Palm,66218820.00000001,7.6,503263032.00000006,5831483627.882353
Poland,Poultry,163699050,6.1,998564205,9610867820.764706
Ukraine,Poultry,82767550,6.1,504882055,9610867820.764706
Czechia,Poultry,87193860,6.1,531882545.99999994,9610867820.764706
Slovakia,Poultry,881417050,6.1,5376644005,9610867820.764706
Estonia,Poultry,2282322250,6.1,13922165725,9610867820.764706
Lithuania,Poultry,1018967180,6.1,6215699798,9610867820.764706
Croatia,Poultry,51200,6.1,312320,9610867820.764706
Luxembourg,Poultry,135980,6.1,829478,9610867820.764706
Austria,Poultry,96785590,6.1,590392099,9610867820.764706
Montenegro,Poultry,580026770,6.1,3538163297,9610867820.764706
Portugal,Poultry,99111340,6.1,604579174,9610867820.764706
Denmark,Poultry,57078410,6.1,348178301,9610867820.764706
Sweden,Poultry,376930,6.1,2299273,9610867820.764706
Malta,Poultry,563362500,6.1,3436511250,9610867820.764706
Finland,Poultry,55300000,6.1,337330000,9610867820.764706
Italy,Poultry,23506276090,6.1,143388284149,9610867820.764706
"North Macedonia",Poultry,46411550,6.1,283110455,9610867820.764706
Hungary,Poultry,1771730,6.1,10807553,9610867820.764706
Latvia,Poultry,134139010.00000001,6.1,818247961,9610867820.764706
Slovenia,Poultry,2332730,6.1,14229653,9610867820.764706
Ireland,Poultry,2531250,6.1,15440625,9610867820.764706
Netherlands,Poultry,2701050,6.1,16476404.999999998,9610867820.764706
Belarus,Poultry,3005180,6.1,18331598,9610867820.764706
"Bosnia and Herzegovina",Poultry,20298910,6.1,123823351,9610867820.764706
Romania,Poultry,3752081210,6.1,22887695381,9610867820.764706
France,Poultry,9675277910,6.1,59019195251,9610867820.764706
Bulgaria,Poultry,8558403050.000001,6.1,52206258605,9610867820.764706
Spain,Poultry,8393280,6.1,51199008,9610867820.764706
Germany,Poultry,8823860,6.1,53825546,9610867820.764706
Serbia,Poultry,260985030,6.1,1592008683,9610867820.764706
Switzerland,Poultry,9719630,6.1,59289743,9610867820.764706
Belgium,Poultry,11102410,6.1,67724701,9610867820.764706
Greece,Poultry,1583781080,6.1,9661064588,9610867820.764706
Albania,Poultry,12140840,6.1,74059124,9610867820.764706
Slovenia,Soybean,56125930,6,336755580,19296608525.294117
Finland,Soybean,8515000,6,51090000,19296608525.294117
Malta,Soybean,151500000,6,909000000,19296608525.294117
Hungary,Soybean,1337680,6,8026080,19296608525.294117
Belgium,Soybean,107584680,6,645508080,19296608525.294117
Netherlands,Soybean,491502080,6,2949012480,19296608525.294117
Switzerland,Soybean,6755666420,6,40533998520,19296608525.294117
Serbia,Soybean,3236048640,6,19416291840,19296608525.294117
Croatia,Soybean,5785663000,6,34713978000,19296608525.294117
Ukraine,Soybean,1481820,6,8890920,19296608525.294117
Spain,Soybean,237980860,6,1427885160,19296608525.294117
Montenegro,Soybean,173254030,6,1039524180,19296608525.294117
"Bosnia and Herzegovina",Soybean,12599729360,6,75598376160,19296608525.294117
Czechia,Soybean,1694740,6,10168440,19296608525.294117
Greece,Soybean,135820,6,814920,19296608525.294117
Belarus,Soybean,37864180,6,227185080,19296608525.294117
Romania,Soybean,12328057450,6,73968344700,19296608525.294117
Portugal,Soybean,381888280,6,2291329680,19296608525.294117
Latvia,Soybean,96614250,6,579685500,19296608525.294117
Bulgaria,Soybean,2497470,6,14984820,19296608525.294117
Italy,Soybean,1806346890,6,10838081340,19296608525.294117
Slovakia,Soybean,1727387550,6,10364325300,19296608525.294117
Lithuania,Soybean,11570590,6,69423540,19296608525.294117
Estonia,Soybean,1375522050,6,8253132300,19296608525.294117
Luxembourg,Soybean,4505950,6,27035700,19296608525.294117
Germany,Soybean,11768550,6,70611300,19296608525.294117
Poland,Soybean,12375430,6,74252580,19296608525.294117
Albania,Soybean,41793471410,6,250760828460,19296608525.294117
Sweden,Soybean,5554238750,6,33325432500,19296608525.294117
France,Soybean,221503450,6,1329020700,19296608525.294117
Denmark,Soybean,7197986770,6,43187920620,19296608525.294117
Ireland,Soybean,0,6,0,19296608525.294117
"North Macedonia",Soybean,338991410,6,2033948460,19296608525.294117
Austria,Soybean,6836637820,6,41019826920,19296608525.294117
Sweden,Rice,1416437250,4,5665749000,37128459331.76471
Hungary,Rice,158592706820,4,634370827280,37128459331.76471
Belarus,Rice,7697821270,4,30791285080,37128459331.76471
Latvia,Rice,66250000,4,265000000,37128459331.76471
Albania,Rice,0,4,0,37128459331.76471
Belgium,Rice,10456448140,4,41825792560,37128459331.76471
Czechia,Rice,55270140,4,221080560,37128459331.76471
Austria,Rice,5600680,4,22402720,37128459331.76471
Finland,Rice,45604500,4,182418000,37128459331.76471
Estonia,Rice,101516250,4,406065000,37128459331.76471
Lithuania,Rice,45169410,4,180677640,37128459331.76471
France,Rice,4672090,4,18688360,37128459331.76471
Poland,Rice,476590730,4,1906362920,37128459331.76471
Germany,Rice,1630527090,4,6522108360,37128459331.76471
Slovenia,Rice,5605342230,4,22421368920,37128459331.76471
Netherlands,Rice,140290950,4,561163800,37128459331.76471
Montenegro,Rice,15346640690,4,61386562760,37128459331.76471
Greece,Rice,963640910,4,3854563640,37128459331.76471
Serbia,Rice,462933620,4,1851734480,37128459331.76471
Romania,Rice,528832949.99999994,4,2115331799.9999998,37128459331.76471
"North Macedonia",Rice,17532493640,4,70129974560,37128459331.76471
Spain,Rice,17691390280,4,70765561120,37128459331.76471
Portugal,Rice,18628704730,4,74514818920,37128459331.76471
Ukraine,Rice,36800650,4,147202600,37128459331.76471
Italy,Rice,345977320,4,1383909280,37128459331.76471
Denmark,Rice,607238400,4,2428953600,37128459331.76471
Switzerland,Rice,19406042060,4,77624168240,37128459331.76471
Slovakia,Rice,20923226450,4,83692905800,37128459331.76471
